Area	Perimeter	Solidity	roundness	Compactness
28395	610.291	0.988855999	0.958027126	0.913357755
28734	638.018	0.984985603	0.887033637	0.953860842
29380	624.11	0.989558774	0.947849473	0.908774239
30008	645.884	0.976695743	0.903936374	0.928328835
30140	620.134	0.99089325	0.984877069	0.970515523
30279	634.927	0.989509804	0.943851783	0.923725952
30477	670.033	0.984081369	0.853079869	0.933373552
30519	629.727	0.989366875	0.967109244	0.925480392
30685	635.681	0.988435769	0.954239808	0.925658498
30834	631.934	0.990809769	0.97027823	0.91212543
30917	640.765	0.988395141	0.94625818	0.929038343
31091	638.558	0.988333651	0.958172836	0.945254305
31107	640.594	0.989943672	0.952581757	0.927163162
31158	642.626	0.989394132	0.948119004	0.92005198
31158	641.105	0.989959967	0.952623101	0.939218858
31178	636.888	0.989149746	0.965899596	0.935510513
31202	644.454	0.988249454	0.944079243	0.924305534
31203	639.782	0.988750871	0.957948542	0.926782809
31272	638.666	0.989839521	0.963425036	0.939237666
31335	635.011	0.991645305	0.976510834	0.921362386
31374	636.401	0.99272244	0.973459862	0.909040279
31530	638.857	0.991790129	0.970792739	0.937213391
31573	674.103	0.980619312	0.873118507	0.922654737
31637	656.711	0.987267905	0.921842182	0.873685862
31675	657.431	0.989565435	0.92092896	0.848239622
31682	646.721	0.989258727	0.951893863	0.956197485
31703	656.305	0.987847817	0.92490856	0.931401991
31748	641.826	0.991505309	0.968482156	0.914812218
31768	650.954	0.987411805	0.94210463	0.910201041
31811	642.092	0.992480968	0.969600136	0.898515141
31821	649.681	0.989212882	0.947378132	0.941748668
31823	662.532	0.986025903	0.91103962	0.903168466
31837	656.404	0.987561263	0.928537748	0.89517394
31915	640.718	0.99164181	0.976946683	0.93186947
31972	639.974	0.991502822	0.980968377	0.944193232
31992	640.338	0.991753984	0.980466376	0.948038274
31994	654.535	0.987743509	0.938453277	0.951267141
32015	653.676	0.988880309	0.941538949	0.948189147
32026	654.237	0.990015147	0.940247873	0.874246265
32038	645.085	0.991642937	0.967478615	0.899716352
32044	652.651	0.989164995	0.945354229	0.934499156
32057	642.082	0.992446054	0.977128658	0.935679416
32066	669.313	0.9872233	0.899489569	0.854599524
32109	663.582	0.985936684	0.9163206	0.90075274
32114	648.566	0.991387028	0.9593916	0.908165329
32167	654.893	0.989114726	0.942496457	0.928501286
32213	658.216	0.988583704	0.934338332	0.914395217
32218	653.595	0.989314008	0.947743902	0.90923218
32233	665.493	0.985417304	0.91458402	0.915702021
32251	644.051	0.991911177	0.977040422	0.917005183
32258	654.808	0.9891451	0.945408164	0.917839581
32262	652.419	0.99075638	0.952462642	0.910087409
32279	646.556	0.989455292	0.970325944	0.929173821
32323	649.59	0.991047064	0.962593368	0.933272294
32338	653.602	0.989777179	0.951253518	0.916456329
32355	657.166	0.988844743	0.941458316	0.917242866
32368	675.385	0.986648784	0.891708502	0.915860765
32376	643.009	0.992885182	0.984008731	0.926541314
32433	653.76	0.989565217	0.953586944	0.924375508
32465	653.85	0.99078341	0.954265043	0.902796056
32514	649.012	0.989982645	0.970006874	0.918805149
32518	651.651	0.991070068	0.962284651	0.919620402
32518	655.131	0.990134584	0.952088655	0.921459408
32525	663.914	0.985606061	0.927264249	0.904130132
32578	657.571	0.990182669	0.946779791	0.89705595
32581	649.583	0.991781072	0.970297635	0.907543857
32615	664.789	0.987854374	0.927383997	0.934146543
32622	657.009	0.991489879	0.949681133	0.866247896
32698	653.049	0.991028672	0.963472928	0.906787962
32705	654.454	0.990430332	0.959545923	0.911496183
32713	660.043	0.990702604	0.943595321	0.947407115
32729	656.679	0.989808262	0.953753937	0.952727566
32774	660.614	0.98955314	0.943721321	0.916575134
32775	649.807	0.991319339	0.975402341	0.928440728
32795	651.03	0.99105497	0.972334053	0.907341385
32796	654.824	0.990486545	0.961128742	0.915751462
32799	653.729	0.991295675	0.964439446	0.929285523
32829	658.101	0.990197261	0.952538233	0.922603526
32836	669.19	0.988291949	0.92142762	0.936193476
32849	664.105	0.988088434	0.935962647	0.886393473
32870	655.512	0.990119887	0.961276389	0.928379984
32885	659.728	0.989766742	0.949462632	0.90115436
32920	671.612	0.986337488	0.917134004	0.934450294
32925	656.646	0.990166005	0.959562001	0.909469438
32934	668.197	0.986018383	0.926926508	0.924873972
32947	668.231	0.988330934	0.927198033	0.97673884
32951	688.26	0.982907768	0.874124721	0.903723266
32988	676.797	0.98586414	0.905000877	0.911863953
33006	669.769	0.986490525	0.924597414	0.917107114
33010	665.85	0.989093306	0.935626643	0.911277783
33013	652.684	0.991708973	0.973842946	0.916162872
33019	655.703	0.990371926	0.965071386	0.913517768
33051	663.071	0.98886994	0.94465755	0.936913921
33058	655.511	0.992136855	0.96677736	0.914074748
33062	667.966	0.988725739	0.931172778	0.924038522
33078	659.456	0.992349923	0.955822961	0.871210282
33078	652.214	0.99252858	0.977167183	0.926985107
33089	663.915	0.988734835	0.94334064	0.944420849
33090	653.809	0.992144399	0.972758069	0.898658427
33143	648.385	0.992989184	0.9906854	0.923144321
33159	653.801	0.99233877	0.974810341	0.923708669
33168	680.621	0.9888498	0.899742964	0.877028274
33171	654.338	0.99228215	0.973563187	0.924667176
33194	664.658	0.990274463	0.944219534	0.88495191
33236	660.788	0.988842938	0.956520582	0.975594507
33248	660.068	0.992151831	0.958954568	0.890804821
33251	658.962	0.990645017	0.962263101	0.946223398
33276	704.493	0.98283959	0.842534348	0.876686794
33316	670.587	0.988634678	0.931005952	0.898530058
33319	668.601	0.987756433	0.936629385	0.915345918
33325	674.433	0.988843061	0.920666621	0.920302508
33330	653.776	0.992555092	0.979912348	0.918178168
33333	679.262	0.98519241	0.907840655	0.934161662
33338	659.103	0.991052053	0.964368085	0.887040223
33344	661.508	0.989671139	0.957540959	0.914466735
33382	659.434	0.989682775	0.964671718	0.925037671
33399	664.701	0.989541361	0.949927944	0.930744648
33421	654.804	0.99198599	0.979504999	0.939600078
33423	659.036	0.99157445	0.967023472	0.920246246
33427	665.61	0.989286454	0.948129347	0.903949156
33429	658.605	0.99157595	0.968463377	0.899158159
33431	666.841	0.989434119	0.94474509	0.938188022
33433	657.349	0.991841699	0.972284135	0.916970503
33446	656.077	0.992080206	0.97643744	0.920292359
33447	664.412	0.989819774	0.952120901	0.912635435
33459	655.414	0.990937361	0.978794213	0.941910858
33468	659.987	0.991703212	0.965536869	0.91966805
33498	657.523	0.992680397	0.973658914	0.906040516
33534	657.067	0.992335691	0.976058644	0.944194798
33538	658.284	0.992248521	0.972569007	0.908252449
33539	662.418	0.98891346	0.96049636	0.923838579
33547	653.512	0.991576023	0.987089244	0.966868717
33560	669.259	0.990058117	0.941549974	0.906886164
33576	666.339	0.989654258	0.950272923	0.920622505
33583	657.754	0.991584977	0.975444036	0.93266883
33584	658.848	0.991146264	0.972236276	0.924244739
33607	690.171	0.983753879	0.886596875	0.963176382
33620	670.224	0.988474656	0.940519106	0.928721179
33623	659.408	0.991302553	0.97171275	0.951853178
33631	669.076	0.988885295	0.94405814	0.92014435
33639	663.03	0.99174504	0.961582569	0.921181537
33717	664.363	0.992114168	0.959948457	0.894537867
33731	671.696	0.989962727	0.939493017	0.896467219
33736	655.729	0.992585618	0.985949497	0.936145442
33794	665.826	0.99024233	0.957917183	0.947176588
33809	669.341	0.990217614	0.948303455	0.901106877
33824	656.339	0.992517386	0.986684731	0.940067907
33838	661.029	0.99097991	0.973135967	0.930902346
33845	670.945	0.990807693	0.944779673	0.916982789
33849	669.571	0.98860948	0.948773259	0.93678016
33858	664.46	0.9916818	0.963681409	0.886030247
33860	683.315	0.986625484	0.911286442	0.920628804
33864	662.898	0.991131794	0.968399824	0.938656768
33866	668.421	0.991074303	0.952518888	0.899196229
33876	666.966	0.990207828	0.95696179	0.910295136
33930	666.214	0.990628011	0.960652272	0.927270341
33946	667.313	0.991239853	0.957942188	0.897880563
33946	668.564	0.990256709	0.954360587	0.885594271
33961	690.353	0.987841415	0.895463526	0.87300597
33961	667.497	0.990723183	0.957837195	0.892025454
33969	666.389	0.99150613	0.961251403	0.935268259
33972	672.812	0.989024426	0.943069114	0.892650724
33993	669.092	0.991078457	0.954174231	0.946716153
33996	663.743	0.991570658	0.969700851	0.932559367
34004	659.963	0.992035476	0.981071581	0.908387772
34027	670.16	0.991058426	0.952086748	0.898504258
34036	666.067	0.990311036	0.964078826	0.917352422
